"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","Angels","274","1208","84","211","183","35","19.2 %","20.2 %",".335",".322",".302",".449",".637",".441","185","12.2","138.7","3.9","18.4","10155"
"Mookie Betts","Red Sox","286","1320","61","264","160","46","13.5 %","14.5 %",".260",".336",".319",".413",".578",".412","158","12.5","106.2","17.9","17.0","13611"
"Alex Bregman","Astros","313","1395","72","227","215","15","15.4 %","12.0 %",".270",".285",".291",".409",".561",".407","162","1.3","109.0","4.1","16.0","17678"
"Christian Yelich","Brewers","277","1231","80","218","207","52","12.0 %","20.6 %",".304",".365",".327",".415",".631",".431","170","14.3","123.9","-9.1","15.4","11477"
"Anthony Rendon","Nationals","282","1243","58","205","218","7","10.9 %","13.5 %",".253",".323",".314",".393",".567",".398","147","5.5","80.2","12.1","13.2","12861"
"Matt Chapman","Athletics","301","1286","60","202","159","2","10.2 %","22.8 %",".244",".303",".263",".348",".507",".361","131","3.6","53.3","30.1","12.8","16505"
"Francisco Lindor","Indians","301","1399","70","230","166","47","8.3 %","14.7 %",".238",".285",".280",".344",".519",".359","123","-0.8","38.1","33.2","12.0","12916"
"Xander Bogaerts","Red Sox","291","1278","56","182","220","12","10.3 %","17.5 %",".240",".328",".300",".373",".540",".382","137","-0.7","58.8","15.3","11.7","12161"
"Nolan Arenado","Rockies","311","1335","79","206","228","5","10.1 %","16.1 %",".267",".313",".306",".376",".572",".391","130","2.5","53.6","20.4","11.7","9777"
"Marcus Semien","Athletics","321","1450","48","212","162","24","10.2 %","16.1 %",".186",".295",".270",".345",".456",".341","117","3.3","35.9","29.7","11.4","12533"
"Cody Bellinger","Dodgers","318","1292","72","205","191","29","12.7 %","20.0 %",".267",".307",".283",".375",".550",".380","142","5.5","75.1","-1.1","11.4","15998"
"Jose Ramirez","Indians","286","1240","62","178","188","58","12.7 %","12.4 %",".256",".254",".263",".360",".519",".366","128","18.7","60.0","10.3","11.4","13510"
"Trevor Story","Rockies","302","1312","72","199","193","50","8.0 %","26.1 %",".268",".353",".293",".355",".561",".382","124","7.7","47.9","19.9","10.9","12564"
